"Country","Rural population  % of total 2000","Rural population  % of total 2018","Rural population growth (annual %)   2018","Land area  sq. km thousands 2016","Land use Forest area % of land area 2000","Land use Forest area % of land area 2016","Land use Permanent cropland % of land area 2000","Land use Permanent cropland % of land area 2016","Land use Arable land % of land area 2000","Land use Arable land % of land area 2016","Arable land  hectares per person 2000","Arable land  hectares per person 2016"
"Ethiopia",85,79,2,NA,13.7,12.5,0.7,1.1,10,15.1,0.15,0.15
"Faroe Islands",64,58,0.1,1.4,0.1,0.1,NA,NA,2.1,2.1,0.06,0.06
"Fiji",52,44,-0.5,18.3,53.7,55.9,4.5,4.7,9.3,9,0.21,0.19
"Finland",18,15,-0.2,303.9,73.7,73.1,0,0,7.2,7.4,0.42,0.41
"France",24,20,-1.2,547.6,27.9,31.2,2.1,1.8,33.5,33.5,0.3,0.27
"French Polynesia",44,38,0.4,3.7,28.7,42.3,5.5,6.3,0.8,0.7,0.01,0.01
"Gabon",21,11,-1,257.7,85.4,90,0.7,0.7,1.3,1.3,0.26,0.16
"Gambia, The",52,39,1.2,10.1,45.6,48.4,0.5,0.5,27.7,43.5,0.21,0.2
"Georgia",47,41,-0.9,69.5,39.7,40.6,3.9,1.6,11.4,5,0.19,0.09
"Germany",25,23,0.1,349.4,32.5,32.7,0.6,0.6,33.8,33.7,0.14,0.14
"Ghana",56,44,0.7,227.5,39.2,41.2,9.4,11.9,17.4,20.7,0.2,0.17
"Greece",27,21,-1.8,128.9,27.9,31.7,8.6,8.6,21.3,16.6,0.25,0.2
"Greenland",18,13,-2.1,410.5,0,0,NA,NA,0,0,0.01,0.02
"Grenada",64,64,0.4,0.3,50,50,29.4,11.8,2.9,8.8,0.01,0.03
"Guam",7,5,-0.6,0.5,46.3,46.3,18.5,16.7,3.7,1.9,0.01,0.01
"Guatemala",55,49,1.2,107.2,39.3,32.7,5.3,11,13,8,0.12,0.05
"Guinea",69,64,2.3,245.7,28.1,25.8,2.6,2.8,8.7,12.6,0.26,0.26
"Guinea-Bissau",64,57,1.8,28.1,75.4,69.8,8.8,8.9,10.7,10.7,0.25,0.17
"Guyana",71,73,0.4,196.9,84.4,83.9,0.1,0.3,2.3,2.1,0.6,0.54
"Haiti",64,45,-0.8,27.6,4,3.5,10.9,10.2,32.7,38.8,0.11,0.1
"Honduras",55,43,0.2,111.9,57.1,40,3.2,4.1,9.5,9.1,0.16,0.11
"Hungary",35,29,-1.2,90.5,21.4,22.9,2.2,1.9,51.4,47.8,0.45,0.44
"Iceland",8,6,2.3,100.3,0.3,0.5,NA,NA,1.3,1.2,0.46,0.36
